customer_id,order_date,total_amount,status,payment_method,campaign_id,created_at
1,2025-04-08,99.67,completed,GCash,,2025-04-08 08:51:00
1,2025-04-15,102.1,completed,GCash,4,2025-04-15 08:05:00
1,2025-04-16,86.25,completed,Credit Card,,2025-04-16 14:08:00
1,2025-04-16,101.82,completed,GCash,,2025-04-16 08:12:00
1,2025-04-17,99.01,cancelled,GCash,10,2025-04-17 08:04:00
1,2025-04-18,67.78,completed,COD,,2025-04-18 18:52:00
1,2025-04-20,73.78,completed,PayMaya,,2025-04-20 08:24:00
1,2025-04-20,70.12,completed,PayMaya,4,2025-04-20 13:38:00
1,2025-04-23,105.66,completed,PayMaya,4,2025-04-23 12:43:00
1,2025-04-24,68.58,shipped,GCash,4,2025-04-24 18:05:00
1,2025-04-25,102.42,completed,PayMaya,10,2025-04-25 16:50:00
1,2025-04-29,122.65,cancelled,PayMaya,4,2025-04-29 10:10:00
1,2025-04-29,90.94,completed,GCash,10,2025-04-29 09:55:00
1,2025-04-30,115.89,processing,COD,,2025-04-30 18:40:00
1,2025-05-02,68.41,completed,PayMaya,,2025-05-02 14:32:00
1,2025-05-02,106.77,completed,GCash,14,2025-05-02 17:26:00
1,2025-05-03,98.65,shipped,PayMaya,10,2025-05-03 10:28:00
1,2025-05-03,118.1,completed,PayMaya,4,2025-05-03 10:04:00
1,2025-05-06,113.59,completed,COD,10,2025-05-06 15:28:00
1,2025-05-07,113.97,completed,Credit Card,14,2025-05-07 16:33:00
1,2025-05-08,105.91,shipped,GCash,,2025-05-08 20:33:00
1,2025-05-08,88.29,cancelled,GCash,,2025-05-08 08:55:00
1,2025-05-12,115.53,completed,PayMaya,4,2025-05-12 10:42:00
1,2025-05-15,86.38,completed,GCash,18,2025-05-15 13:54:00
1,2025-05-18,112.34,completed,PayMaya,18,2025-05-18 18:12:00
1,2025-05-25,108.95,completed,GCash,18,2025-05-25 12:37:00
1,2025-05-26,76.91,completed,GCash,,2025-05-26 17:05:00
1,2025-05-29,71.8,completed,PayMaya,11,2025-05-29 17:47:00
1,2025-06-01,109.26,completed,GCash,,2025-06-01 17:21:00
1,2025-06-02,78.5,completed,GCash,,2025-06-02 20:25:00
1,2025-06-06,92.21,completed,PayMaya,11,2025-06-06 09:06:00
1,2025-06-10,112.34,completed,PayMaya,11,2025-06-10 12:46:00
1,2025-06-22,84.73,processing,COD,5,2025-06-22 10:05:00
1,2025-06-23,108.53,completed,PayMaya,19,2025-06-23 13:41:00
1,2025-07-09,63.21,completed,GCash,,2025-07-09 09:51:00
1,2025-07-14,102.45,completed,Credit Card,,2025-07-14 20:02:00
2,2025-06-28,1305.14,completed,COD,,2025-06-28 16:55:00
3,2025-06-22,4152.67,completed,PayMaya,19,2025-06-22 13:23:00
3,2025-06-25,4935.28,completed,PayMaya,19,2025-06-25 20:58:00
