order_id,payment_method,amount,payment_date,payment_status,transaction_id,created_at
1,GCash,99.67,2025-04-08 08:51:00,completed,GC_20250408_303,2025-04-08 08:51:00
2,GCash,102.1,2025-04-15 08:05:00,completed,GC_20250415_498,2025-04-15 08:05:00
3,Credit Card,86.25,2025-04-16 14:08:00,completed,CC_20250416_207,2025-04-16 14:08:00
4,GCash,101.82,2025-04-16 08:12:00,completed,GC_20250416_513,2025-04-16 08:12:00
5,GCash,99.01,2025-04-17 08:04:00,pending,GC_20250417_313,2025-04-17 08:04:00
6,COD,67.78,2025-04-18 18:52:00,completed,COD_20250418_733,2025-04-18 18:52:00
7,PayMaya,73.78,2025-04-20 08:24:00,completed,PM_20250420_894,2025-04-20 08:24:00
8,PayMaya,70.12,2025-04-20 13:38:00,completed,PM_20250420_878,2025-04-20 13:38:00
9,PayMaya,105.66,2025-04-23 12:43:00,completed,PM_20250423_385,2025-04-23 12:43:00
10,GCash,68.58,2025-04-24 18:05:00,pending,GC_20250424_921,2025-04-24 18:05:00
11,PayMaya,102.42,2025-04-25 16:50:00,completed,PM_20250425_744,2025-04-25 16:50:00
12,PayMaya,122.65,2025-04-29 10:10:00,pending,PM_20250429_924,2025-04-29 10:10:00
13,GCash,90.94,2025-04-29 09:55:00,completed,GC_20250429_657,2025-04-29 09:55:00
14,COD,115.89,2025-04-30 18:40:00,pending,COD_20250430_553,2025-04-30 18:40:00
15,PayMaya,68.41,2025-05-02 14:32:00,completed,PM_20250502_429,2025-05-02 14:32:00
16,GCash,106.77,2025-05-02 17:26:00,completed,GC_20250502_399,2025-05-02 17:26:00
17,PayMaya,98.65,2025-05-03 10:28:00,pending,PM_20250503_286,2025-05-03 10:28:00
18,PayMaya,118.1,2025-05-03 10:04:00,completed,PM_20250503_610,2025-05-03 10:04:00
19,COD,113.59,2025-05-06 15:28:00,completed,COD_20250506_919,2025-05-06 15:28:00
20,Credit Card,113.97,2025-05-07 16:33:00,completed,CC_20250507_640,2025-05-07 16:33:00
21,GCash,105.91,2025-05-08 20:33:00,pending,GC_20250508_591,2025-05-08 20:33:00
22,GCash,88.29,2025-05-08 08:55:00,pending,GC_20250508_449,2025-05-08 08:55:00
23,PayMaya,115.53,2025-05-12 10:42:00,completed,PM_20250512_192,2025-05-12 10:42:00
24,GCash,86.38,2025-05-15 13:54:00,completed,GC_20250515_710,2025-05-15 13:54:00
25,PayMaya,112.34,2025-05-18 18:12:00,completed,PM_20250518_329,2025-05-18 18:12:00
26,GCash,108.95,2025-05-25 12:37:00,completed,GC_20250525_804,2025-05-25 12:37:00
27,GCash,76.91,2025-05-26 17:05:00,completed,GC_20250526_591,2025-05-26 17:05:00
28,PayMaya,71.8,2025-05-29 17:47:00,completed,PM_20250529_585,2025-05-29 17:47:00
29,GCash,109.26,2025-06-01 17:21:00,completed,GC_20250601_508,2025-06-01 17:21:00
30,GCash,78.5,2025-06-02 20:25:00,completed,GC_20250602_240,2025-06-02 20:25:00
31,PayMaya,92.21,2025-06-06 09:06:00,completed,PM_20250606_856,2025-06-06 09:06:00
32,PayMaya,112.34,2025-06-10 12:46:00,completed,PM_20250610_175,2025-06-10 12:46:00
33,COD,84.73,2025-06-22 10:05:00,pending,COD_20250622_282,2025-06-22 10:05:00
34,PayMaya,108.53,2025-06-23 13:41:00,completed,PM_20250623_825,2025-06-23 13:41:00
35,GCash,63.21,2025-07-09 09:51:00,completed,GC_20250709_810,2025-07-09 09:51:00
36,Credit Card,102.45,2025-07-14 20:02:00,completed,CC_20250714_757,2025-07-14 20:02:00
37,COD,1305.14,2025-06-28 16:55:00,completed,COD_20250628_529,2025-06-28 16:55:00
38,PayMaya,4152.67,2025-06-22 13:23:00,completed,PM_20250622_360,2025-06-22 13:23:00
39,PayMaya,4935.28,2025-06-25 20:58:00,completed,PM_20250625_773,2025-06-25 20:58:00
40,Bank Transfer,5300.37,2025-06-28 12:12:00,completed,BT_20250628_691,2025-06-28 12:12:00
41,Credit Card,5331.83,2025-06-28 16:01:00,pending,CC_20250628_625,2025-06-28 16:01:00
42,GCash,4357.28,2025-06-30 15:01:00,completed,GC_20250630_494,2025-06-30 15:01:00
43,Credit Card,5222.72,2025-06-30 08:11:00,completed,CC_20250630_304,2025-06-30 08:11:00
44,PayMaya,3940.82,2025-07-02 18:38:00,completed,PM_20250702_293,2025-07-02 18:38:00
45,Credit Card,5021.42,2025-07-04 13:43:00,completed,CC_20250704_226,2025-07-04 13:43:00
46,PayMaya,3449.02,2025-07-11 09:43:00,pending,PM_20250711_977,2025-07-11 09:43:00
47,Credit Card,4847.32,2025-07-18 09:14:00,pending,CC_20250718_301,2025-07-18 09:14:00
48,Bank Transfer,260.56,2025-06-24 11:33:00,completed,BT_20250624_722,2025-06-24 11:33:00
49,Bank Transfer,223.94,2025-06-24 09:43:00,completed,BT_20250624_288,2025-06-24 09:43:00
50,Credit Card,283.25,2025-06-25 14:50:00,completed,CC_20250625_523,2025-06-25 14:50:00
51,Credit Card,327.62,2025-06-25 15:26:00,completed,CC_20250625_351,2025-06-25 15:26:00
52,PayMaya,283.63,2025-06-25 12:57:00,pending,PM_20250625_710,2025-06-25 12:57:00
53,Credit Card,336.76,2025-06-25 16:24:00,completed,CC_20250625_912,2025-06-25 16:24:00
54,Bank Transfer,256.06,2025-06-25 14:58:00,completed,BT_20250625_506,2025-06-25 14:58:00
55,Credit Card,247.12,2025-06-26 17:09:00,completed,CC_20250626_672,2025-06-26 17:09:00
56,Credit Card,299.54,2025-06-26 14:57:00,completed,CC_20250626_343,2025-06-26 14:57:00
57,Credit Card,349.27,2025-06-26 14:25:00,completed,CC_20250626_218,2025-06-26 14:25:00
58,GCash,361.14,2025-06-26 09:45:00,completed,GC_20250626_132,2025-06-26 09:45:00
59,Credit Card,353.99,2025-06-26 16:54:00,completed,CC_20250626_984,2025-06-26 16:54:00
60,Bank Transfer,307.96,2025-06-26 10:52:00,completed,BT_20250626_178,2025-06-26 10:52:00
61,Credit Card,348.31,2025-06-26 16:07:00,pending,CC_20250626_746,2025-06-26 16:07:00
62,Credit Card,201.75,2025-06-27 20:29:00,pending,CC_20250627_825,2025-06-27 20:29:00
63,Credit Card,220.83,2025-06-27 11:54:00,completed,CC_20250627_522,2025-06-27 11:54:00
64,Credit Card,235.46,2025-06-27 13:47:00,completed,CC_20250627_502,2025-06-27 13:47:00
65,GCash,239.02,2025-06-28 15:48:00,completed,GC_20250628_321,2025-06-28 15:48:00
66,Credit Card,287.29,2025-06-28 14:34:00,completed,CC_20250628_994,2025-06-28 14:34:00
67,Credit Card,301.81,2025-06-28 18:08:00,completed,CC_20250628_174,2025-06-28 18:08:00
68,Credit Card,354.33,2025-06-28 12:31:00,completed,CC_20250628_692,2025-06-28 12:31:00
69,Credit Card,293.61,2025-06-29 08:35:00,completed,CC_20250629_496,2025-06-29 08:35:00
70,Credit Card,290.31,2025-06-30 13:10:00,completed,CC_20250630_303,2025-06-30 13:10:00
71,Credit Card,264.55,2025-06-30 08:10:00,completed,CC_20250630_846,2025-06-30 08:10:00
72,Credit Card,296.47,2025-06-30 17:24:00,completed,CC_20250630_321,2025-06-30 17:24:00
73,Credit Card,311.32,2025-07-01 11:18:00,completed,CC_20250701_922,2025-07-01 11:18:00
74,GCash,171.47,2025-07-01 19:52:00,completed,GC_20250701_677,2025-07-01 19:52:00
75,Bank Transfer,1720.84,2025-06-14 20:11:00,completed,BT_20250614_917,2025-06-14 20:11:00
76,GCash,1637.06,2025-06-14 08:23:00,completed,GC_20250614_172,2025-06-14 08:23:00
77,Credit Card,2287.1,2025-06-15 09:32:00,completed,CC_20250615_923,2025-06-15 09:32:00
78,Credit Card,1713.31,2025-06-15 13:55:00,pending,CC_20250615_872,2025-06-15 13:55:00
79,Credit Card,2843.52,2025-06-15 16:52:00,pending,CC_20250615_141,2025-06-15 16:52:00
80,Credit Card,2825.08,2025-06-15 15:05:00,completed,CC_20250615_431,2025-06-15 15:05:00
81,Credit Card,2624.1,2025-06-16 09:03:00,completed,CC_20250616_243,2025-06-16 09:03:00
82,Credit Card,2435.93,2025-06-17 20:12:00,pending,CC_20250617_728,2025-06-17 20:12:00
83,Credit Card,2509.35,2025-06-17 09:25:00,completed,CC_20250617_326,2025-06-17 09:25:00
84,Credit Card,1897.93,2025-06-17 15:24:00,completed,CC_20250617_480,2025-06-17 15:24:00
85,PayMaya,2278.22,2025-06-18 19:17:00,pending,PM_20250618_322,2025-06-18 19:17:00
86,Bank Transfer,1914.59,2025-06-18 17:25:00,pending,BT_20250618_376,2025-06-18 17:25:00
87,Credit Card,2620.7,2025-06-18 19:23:00,completed,CC_20250618_279,2025-06-18 19:23:00
88,Bank Transfer,1741.84,2025-06-19 08:49:00,completed,BT_20250619_379,2025-06-19 08:49:00
89,GCash,2364.97,2025-06-19 13:03:00,completed,GC_20250619_147,2025-06-19 13:03:00
90,Credit Card,2060.18,2025-06-19 10:48:00,pending,CC_20250619_518,2025-06-19 10:48:00
